order_id,customer_id,amount,currency,order_date,status
ORD_1001,CUST_0005,7304.00,INR,2026-02-08,PAID
ORD_1002,CUST_0094,20757.00,INR,2026-01-28,PAID
ORD_1003,CUST_0074,12657.00,INR,2026-01-17,PAID
ORD_1004,CUST_0001,34273.00,INR,2026-03-01,PAID
ORD_1005,CUST_0056,4785.00,INR,2026-03-02,PAID
ORD_1006,CUST_0085,8367.00,INR,2026-02-16,PAID
ORD_1007,CUST_0086,26964.00,INR,2026-01-21,PAID
ORD_1008,CUST_0090,19576.00,INR,2026-02-05,PAID
ORD_1009,CUST_0054,43776.00,INR,2026-03-02,PAID
ORD_1010,CUST_0079,37496.00,INR,2026-01-20,PAID
ORD_1011,CUST_0071,226.00,INR,2026-01-20,PAID
ORD_1012,CUST_0056,38209.00,INR,2026-02-08,PAID
ORD_1013,CUST_0057,29177.00,INR,2026-02-13,PAID
ORD_1014,CUST_0095,11320.00,INR,2026-02-12,PAID
ORD_1015,CUST_0066,43706.00,INR,2026-02-10,PAID
ORD_1016,CUST_0012,49426.00,INR,2026-01-16,PAID
ORD_1017,CUST_0026,9856.00,INR,2026-01-02,PAID
ORD_1018,CUST_0061,40260.00,INR,2026-02-24,PAID
ORD_1019,CUST_0054,41472.00,INR,2026-02-06,PAID
ORD_1020,CUST_0064,26391.00,INR,2026-01-16,PAID
ORD_1021,CUST_0097,7185.00,INR,2026-02-19,PAID
ORD_1022,CUST_0023,45807.00,INR,2026-02-03,PAID
ORD_1023,CUST_0007,36730.00,INR,2026-01-16,PAID
ORD_1024,CUST_0059,8938.00,INR,2026-02-21,PAID
ORD_1025,CUST_0097,29204.00,INR,2026-02-09,PAID
ORD_1026,CUST_0021,48936.00,INR,2026-02-25,PAID
ORD_1027,CUST_0058,17186.00,INR,2026-02-18,PAID
ORD_1028,CUST_0099,34363.00,INR,2026-02-01,PAID
ORD_1029,CUST_0057,5277.00,INR,2026-02-15,PAID
ORD_1030,CUST_0035,22210.00,INR,2026-01-21,PAID
ORD_1031,CUST_0020,15355.00,INR,2026-01-25,PAID
ORD_1032,CUST_0009,27388.00,INR,2026-01-27,PAID
ORD_1033,CUST_0054,4280.00,INR,2026-01-14,PAID
ORD_1034,CUST_0099,38478.00,INR,2026-03-02,PAID
ORD_1035,CUST_0062,586.00,INR,2026-03-02,PAID
ORD_1036,CUST_0039,49579.00,INR,2026-01-25,PAID
ORD_1037,CUST_0063,14580.00,INR,2026-01-18,PAID
ORD_1038,CUST_0004,25684.00,INR,2026-01-22,PAID
ORD_1039,CUST_0060,8564.00,INR,2026-02-09,PAID
ORD_1040,CUST_0076,37187.00,INR,2026-02-12,PAID
ORD_1041,CUST_0083,28289.00,INR,2026-01-09,PAID
ORD_1042,CUST_0007,17249.00,INR,2026-01-25,PAID
ORD_1043,CUST_0059,21620.00,INR,2026-01-22,PAID
ORD_1044,CUST_0097,27827.00,INR,2026-01-17,PAID
ORD_1045,CUST_0003,49288.00,INR,2026-02-04,PAID
ORD_1046,CUST_0029,42807.00,INR,2026-01-05,PAID
ORD_1047,CUST_0032,13265.00,INR,2026-02-23,PAID
ORD_1048,CUST_0031,8472.00,INR,2026-01-31,PAID
ORD_1049,CUST_0073,14484.00,INR,2026-01-30,PAID
ORD_1050,CUST_0022,39907.00,INR,2026-02-08,PAID
ORD_1051,CUST_0040,7284.00,INR,2026-02-07,PAID
ORD_1052,CUST_0074,44590.00,INR,2026-02-28,PAID
ORD_1053,CUST_0092,13197.00,INR,2026-01-05,PAID
ORD_1054,CUST_0090,19964.00,INR,2026-02-24,PAID
ORD_1055,CUST_0073,2891.00,INR,2026-01-23,PAID
ORD_1056,CUST_0009,33358.00,INR,2026-02-11,PAID
ORD_1057,CUST_0054,32325.00,INR,2026-01-07,PAID
