payment_id,order_id,amount,payment_date,payment_method,status,reference
PAY_5001,ORD_1001,7304.00,2026-02-08,WALLET,SUCCESS,RZP_REF_1001
PAY_5002,ORD_1002,20757.00,2026-01-28,UPI,SUCCESS,RZP_REF_1002
PAY_5003,ORD_1003,12657.00,2026-01-17,UPI,SUCCESS,RZP_REF_1003
PAY_5004,ORD_1004,34273.00,2026-03-01,CARD,SUCCESS,RZP_REF_1004
PAY_5005,ORD_1005,4785.00,2026-03-02,NETBANKING,SUCCESS,RZP_REF_1005
PAY_5006,ORD_1006,8367.00,2026-02-16,NETBANKING,SUCCESS,RZP_REF_1006
PAY_5007,ORD_1007,26964.00,2026-01-21,WALLET,SUCCESS,RZP_REF_1007
PAY_5008,ORD_1008,19576.00,2026-02-05,CARD,SUCCESS,RZP/REF/1008
PAY_5009,ORD_1009,43776.00,2026-03-02,WALLET,SUCCESS,RZP_REF_1009
PAY_5010,ORD_1010,37496.00,2026-01-20,WALLET,SUCCESS,RZP_REF_1010
PAY_5011,ORD_1011,226.00,2026-01-20,NETBANKING,SUCCESS,RZP_REF_1011
PAY_5012,ORD_1012,38209.00,2026-02-08,NETBANKING,SUCCESS,RZP_REF_1012
PAY_5013,ORD_1013,29177.00,2026-02-13,CARD,SUCCESS,RZP_REF_1013
PAY_5014,ORD_1014,11320.00,2026-02-12,UPI,SUCCESS,rzp_ref_1014
PAY_5015,ORD_1015,43706.00,2026-02-10,NETBANKING,SUCCESS,RZP_REF_1015
PAY_5016,ORD_1016,49426.00,2026-01-16,NETBANKING,SUCCESS,RZP_REF_1016
PAY_5017,ORD_1017,9856.00,2026-01-02,UPI,SUCCESS,RZP_REF_1017
PAY_5018,ORD_1018,40260.00,2026-02-24,UPI,SUCCESS,RZP_REF_1018
PAY_5019,ORD_1019,41472.00,2026-02-06,CARD,SUCCESS, RZP REF 1019 
PAY_5020,ORD_1020,26391.00,2026-01-16,CARD,SUCCESS,RZP-REF-1020
PAY_5021,ORD_1021,7185.00,2026-02-19,WALLET,SUCCESS,RZP_REF_1021
PAY_5022,ORD_1022,45807.00,2026-02-03,WALLET,SUCCESS,RZP_REF_1022
PAY_5023,ORD_1023,36730.00,2026-01-16,UPI,SUCCESS,RZP_REF_1023
PAY_5024,ORD_1024,8938.00,2026-02-21,WALLET,SUCCESS,RZP_REF_1024
PAY_5025,ORD_1025,29204.00,2026-02-09,WALLET,SUCCESS,RZP_REF_1025
PAY_5026,ORD_1026,48936.00,2026-02-25,WALLET,SUCCESS,RZP_REF_1026
PAY_5027,ORD_1027,17186.00,2026-02-18,CARD,SUCCESS,rzp_ref_1027
PAY_5028,ORD_1028,34363.00,2026-02-01,CARD,SUCCESS,rzp_ref_1028
