settlement_id,payment_reference,gross_amount,fee,refund,net_amount,settlement_date,status
SET_9001,RZP_REF_1001,7304.00,0.00,0.00,7304.00,2026-02-09,SETTLED
SET_9002,RZP_REF_1002,20757.00,0.00,0.00,20757.00,2026-01-31,SETTLED
SET_9003,RZP_REF_1003,12657.00,0.00,0.00,12657.00,2026-01-18,SETTLED
SET_9004,RZP_REF_1004,34273.00,0.00,0.00,34273.00,2026-03-02,SETTLED
SET_9005,RZP_REF_1005,4785.00,0.00,0.00,4785.00,2026-03-03,SETTLED
SET_9006,RZP_REF_1006,8367.00,0.00,0.00,8367.00,2026-02-17,SETTLED
SET_9007,RZP_REF_1007,26964.00,485.35,0.00,26478.65,2026-01-22,SETTLED
SET_9008,RZPREF1008,19576.00,0.00,0.00,19576.00,2026-02-06,SETTLED
SET_9009,RZP_REF_1009,43776.00,0.00,0.00,43776.00,2026-03-02,SETTLED
SET_9010,RZP_REF_1010,37496.00,674.93,0.00,36821.07,2026-01-21,SETTLED
SET_9011,RZP_REF_1011,180.80,0.00,0.00,180.80,2026-01-21,PARTIAL_SETTLED
SET_9012,RZP_REF_1012,34388.10,0.00,0.00,34388.10,2026-02-09,PARTIAL_SETTLED
SET_9013,RZP_REF_1013,29177.00,0.00,0.00,29177.00,2026-02-14,SETTLED
SET_9014,RZP_REF_1014,11320.00,0.00,0.00,11320.00,2026-02-13,SETTLED
SET_9015,RZP_REF_1015,43706.00,0.00,0.00,43706.00,2026-02-11,SETTLED
SET_9016,RZP_REF_1015_DUP,43706.00,0.00,0.00,43706.00,2026-02-11,SETTLED
SET_9017,RZP_REF_1016,49426.00,0.00,0.00,49426.00,2026-01-16,SETTLED
SET_9018,RZP_REF_1017,9856.00,0.00,0.00,9856.00,2026-01-04,SETTLED
SET_9019,RZP_REF_1018,40260.00,0.00,0.00,40260.00,2026-02-25,SETTLED
SET_9020,RZP_REF_1019,41472.00,0.00,0.00,41472.00,2026-02-07,SETTLED
SET_9021,RZP_REF_1020,26391.00,0.00,0.00,26391.00,2026-01-17,SETTLED
SET_9022,RZP_REF_1021,5748.00,0.00,0.00,5748.00,2026-02-20,PARTIAL_SETTLED
SET_9023,RZP_REF_1022,45807.00,824.53,0.00,44982.47,2026-02-04,SETTLED
SET_9024,RZP_REF_1023,36730.00,661.14,0.00,36068.86,2026-01-17,SETTLED
SET_9025,RZP_REF_1024,8938.00,0.00,0.00,8938.00,2026-02-24,SETTLED
SET_9026,RZP_REF_1025,29204.00,0.00,0.00,29204.00,2026-02-10,SETTLED
SET_9027,RZP_REF_1027,17186.00,0.00,0.00,17186.00,2026-02-19,SETTLED
SET_9028,RZP_REF_1028,34363.00,0.00,0.00,34363.00,2026-02-02,SETTLED
SET_9029,RZPREF1029,5277.00,0.00,0.00,5277.00,2026-02-16,SETTLED
SET_9030,RZPREF1030,22210.00,0.00,0.00,22210.00,2026-01-22,SETTLED
SET_9031,RZP_REF_1031,15355.00,0.00,0.00,15355.00,2026-01-25,SETTLED
SET_9032,RZP_REF_1032,27388.00,0.00,0.00,27388.00,2026-01-28,SETTLED
SET_9033,RZP_REF_1033,4280.00,0.00,0.00,4280.00,2026-01-15,SETTLED
SET_9034,RZP_REF_1034,38478.00,0.00,0.00,38478.00,2026-03-03,SETTLED
SET_9035,RZP_REF_1035,586.00,8.79,0.00,577.21,2026-03-03,SETTLED
SET_9036,RZP_REF_1036,49579.00,0.00,0.00,49579.00,2026-01-25,SETTLED
SET_9037,RZP_REF_1037,13122.00,0.00,0.00,13122.00,2026-01-19,PARTIAL_SETTLED
SET_9038,RZP_REF_1038,25684.00,0.00,0.00,25684.00,2026-01-22,SETTLED
SET_9039,RZP_REF_1039,8564.00,0.00,0.00,8564.00,2026-02-10,SETTLED
SET_9040,RZP_REF_1040,37187.00,0.00,0.00,37187.00,2026-02-12,SETTLED
SET_9041,RZP_REF_1041,28289.00,0.00,0.00,28289.00,2026-01-11,SETTLED
SET_9042,RZPREF1042,17249.00,0.00,0.00,17249.00,2026-01-26,SETTLED
SET_9043,RZP_REF_1043,21620.00,0.00,0.00,21620.00,2026-01-23,SETTLED
SET_9044,RZP_REF_1044,27827.00,0.00,0.00,27827.00,2026-01-18,SETTLED
SET_9045,RZP_REF_1045,49288.00,0.00,0.00,49288.00,2026-02-07,SETTLED
SET_9046,RZP_REF_1046,42807.00,0.00,0.00,42807.00,2026-01-05,SETTLED
SET_9047,RZP_REF_1047,13265.00,0.00,0.00,13265.00,2026-02-23,SETTLED
SET_9048,RZP_REF_1048,8472.00,152.50,0.00,8319.50,2026-02-01,SETTLED
SET_9049,RZP_REF_1049,14484.00,0.00,0.00,14484.00,2026-01-31,SETTLED
SET_9050,RZP_REF_1050,39907.00,0.00,0.00,39907.00,2026-02-08,SETTLED
SET_9051,RZP_REF_1051,7284.00,0.00,0.00,7284.00,2026-02-08,SETTLED
SET_9052,RZP_REF_1052,44590.00,0.00,0.00,44590.00,2026-03-01,SETTLED
SET_9053,RZP_REF_1053,9237.90,0.00,0.00,9237.90,2026-01-06,PARTIAL_SETTLED
